smiles,esol,bbbp,hergc10,qed,NumHDonors,NumHAcceptors
CC(CC1CCCN1)Nc1cc(Cl)c([N+](=O)[O-])cc1B(O)O,-3.1229,0.2826,0.9063,0.350731725,4,6
Cc1cc(CCC(=O)NC(=O)Oc2nc(OCc3ccc(Cl)cc3)ccc2O)cc(C)c1N,-6.155,0.3131,0.2274,0.435962211,3,7
CCC(C)C(CC)C(C)CCCCOc1ncc(-c2ccc(Cl)c(NC(=O)c3coc(N)n3)c2)s1,-6.2068,0.4424,0.9225,0.226332771,2,7
CC(C)C(C)C(C)CCc1cccc(NC(=O)NCCCN2C[C@@H](C)C[C@H](C)C2)c1,-5.4723,0.5502,0.9932,0.457771296,2,2
O=C(O)[C@H]1CCC[C@@H](C(=O)Nc2cccc(CCCO)c2)C1,-2.574,0.2712,0.0024,0.753147798,3,3
Cc1ccc(CN[C@@H](C)CNC(=O)c2ccc(C)nc2O)cc1,-3.0253,0.5476,0.1118,0.764923083,3,4
CC(C)[C@H](NC(=O)N[C@@H]1CCOC12CCOCC2)c1cccc(-c2ccc(Cl)cc2I)c1,-6.116,0.4911,0.356,0.438725687,2,3
Cc1cc(NC(=O)C(C)(C)C)sc1C(=O)Nc1cccc(C)c1C,-5.6067,0.3996,0.0006,0.830901999,2,3
C=CC(F)=C(O)SC(CO)C(=O)NC[C@H]1CCN(C(=O)CCOc2ccccc2Br)[C@@H]1c1cccnc1,-4.0709,0.489,0.2053,0.24837866,3,7
CC1(CO)C(=O)CCC2(C)C3CCC4(C)C(O)CCC4C3CCC12,-4.5138,0.8113,0.0676,0.770605121,2,3
CC(C)Cc1cccc(N2C(=O)CCc3cc(NC(=O)N[C@H](c4ccc(F)cc4)C(C)C)ccc32)c1,-6.7798,0.3522,0.6086,0.371582826,2,2
Cc1ccccc1CNC(=O)c1cnc(NC(C)c2ccccc2)nc1,-4.7426,0.7267,0.0521,0.710526355,2,4
CC(C)(C)c1ccc(C23CC4CC(CC(C4)C2)C3)c(Cc2[nH]c(C3CCCCC3)nc2-c2nc3c(C(=O)O)cccc3[nH]2)c1,-6.8546,0.2486,0.483,0.208754596,3,3
C[C@H](CCCNC(=O)C(=O)N1CCC[C@@](C)(O)C1)CCCC(F)(F)F,-3.0095,0.7781,0.0334,0.537544093,2,3
CC(C)Oc1ccc(Oc2cccc([C@H](C)NC(=O)c3ccc(C(=O)Nc4ccccc4)cc3)c2)cc1,-6.6901,0.1514,0.354,0.262391758,2,4
CCc1cc(=O)oc2cc(C)cc(OC(C)C(=O)NCC3CCC(C(=O)O)CC3)c12,-4.6498,0.2372,0.0129,0.671268562,2,5
CCOOCC(=COCCC(=O)Nc1ccc2n[nH]nc2c1)C(=O)c1cc(Cl)ccc1Cl,-5.1805,0.542,0.2392,0.104972495,2,7
CCCCC(C(C)C)[Si@@](C)(OCc1coc(O)c1-n1cc(C)c(=O)[nH]c1=O)C(C)(C)C,-5.97,0.3523,0.8682,0.509124953,2,6
CCCN1CCC23c4c5ccc(O)c4OC2C(NC(=O)c2cccc(I)c2)CCC3(O)C1C5,-4.6306,0.9132,0.7305,0.500321179,3,5
CNCc1occc1-c1cc(B(O)O)c(F)cc1Cl,-2.5942,0.4349,0.1399,0.736309253,3,4
CC1CC(F)=CC=C1C(O)C(NC(=O)OC(C)(C)C)C(=O)N1CCCC1,-3.217,0.6266,0.0451,0.799644105,2,4
CC(C)Oc1cccc([C@@H](O)CNC(=O)CCC2(c3ccc(I)cc3)CCC2)c1,-5.191,0.7379,0.4726,0.463119609,2,3
CCCCC(OC[C@H](NC(=O)Nc1cc(C)c(F)cc1Cl)c1ccc(CC)o1)C(C)C,-6.5446,0.3269,0.9041,0.384023668,2,3
Cc1cc(Cl)ccc1O[C@@H](C)C(=O)N[C@@H](C)c1cnc(B(O)O)s1,-4.1699,0.319,0.019,0.670965905,3,6
COc1cccc(C(O)c2c(C)cc(C)cc2B(O)O)c1,-2.9719,0.4832,0.0048,0.735427863,3,4
CN1CCN(S(=O)(=O)c2ccccc2CNC(=O)[C@@H](O)Cc2ccccc2Cl)CC1,-2.4702,0.2545,0.0073,0.665400024,2,5
CCCc1csc(NC(=O)N2CCCC[C@@H]2[C@@H]2CCCC[C@H]2O)n1,-4.2299,0.3945,0.0052,0.860443873,2,4
C[C@H](CN[C@@H](c1ccccn1)C1CC1)c1nc(B(O)O)cs1,-2.4296,0.535,0.2448,0.665779823,3,6
